date,temp,humi,alti,press
2008-01-01 0:00,-7,52,,
2008-01-01 1:00,-7.3,52,,
2008-01-01 2:00,-7.5,52,,
2008-01-01 3:00,-7.8,52,,
2008-01-01 4:00,-7.9,53,,
2008-01-01 5:00,-8.1,53,,
2008-01-01 6:00,-8.3,56,,
2008-01-01 7:00,-8.3,56,,
2008-01-01 8:00,-8.3,55,,
2008-01-01 9:00,-8.1,53,,
2008-01-01 10:00,-7.6,47,,
2008-01-01 11:00,-6.9,42,,
2008-01-01 12:00,-5.8,42,,
2008-01-01 13:00,-5,36,,
2008-01-01 14:00,-4.4,36,,
2008-01-01 15:00,-3.5,34,,
2008-01-01 16:00,-3.4,35,,
2008-01-01 17:00,-3.7,37,,
2008-01-01 18:00,-4.3,43,,
2008-01-01 19:00,-4.8,46,,
2008-01-01 20:00,-5.5,52,,
2008-01-01 21:00,-6,51,,
2008-01-01 22:00,-6.3,52,,
2008-01-01 23:00,-6.3,54,,
2008-01-02 0:00,-6.5,57,,
2008-01-02 1:00,-6.5,59,,
2008-01-02 2:00,-6.1,60,,
2008-01-02 3:00,-6.3,59,,
2008-01-02 4:00,-6.3,58,,
2008-01-02 5:00,-6.6,61,,
2008-01-02 6:00,-6.5,59,,
2008-01-02 7:00,-6.6,59,,
2008-01-02 8:00,-7.1,59,,
2008-01-02 9:00,-6.3,52,,
2008-01-02 10:00,-5.3,47,,
2008-01-02 11:00,-4.3,42,,
2008-01-02 12:00,-2.7,40,,
2008-01-02 13:00,-1.2,30,,
2008-01-02 14:00,-0.6,31,,
2008-01-02 15:00,0.2,30,,
2008-01-02 16:00,0.4,34,,
2008-01-02 17:00,-0.5,40,,
2008-01-02 18:00,-1.1,47,,
2008-01-02 19:00,-1.3,52,,
2008-01-02 20:00,-1.6,52,,
2008-01-02 21:00,-2,55,,
2008-01-02 22:00,-2,54,,
2008-01-02 23:00,-2.5,56,,
2008-01-03 0:00,-2.2,59,,
2008-01-03 1:00,-2.2,58,,
2008-01-03 2:00,-2.2,58,,
2008-01-03 3:00,-2.4,59,,
2008-01-03 4:00,-2.7,60,,
2008-01-03 5:00,-3,62,,
2008-01-03 6:00,-2.5,61,,
2008-01-03 7:00,-2.4,63,,
2008-01-03 8:00,-2.2,63,,
2008-01-03 9:00,-1.5,62,,
2008-01-03 10:00,-0.4,58,,
2008-01-03 11:00,1,57,,
2008-01-03 12:00,3.2,53,,
2008-01-03 13:00,6,46,,
2008-01-03 14:00,6.4,33,,
2008-01-03 15:00,6.4,30,,
2008-01-03 16:00,5.9,37,,
2008-01-03 17:00,5,37,,
2008-01-03 18:00,3.7,44,,
2008-01-03 19:00,3,51,,
2008-01-03 20:00,2.2,45,,
2008-01-03 21:00,1.2,46,,
2008-01-03 22:00,0.6,45,,
2008-01-03 23:00,-0.1,49,,
2008-01-04 0:00,-0.8,61,,
2008-01-04 1:00,-1.7,67,,
2008-01-04 2:00,-2.4,69,,
2008-01-04 3:00,-3,71,,
2008-01-04 4:00,-3.5,73,,
2008-01-04 5:00,-3.5,72,,
2008-01-04 6:00,-4,76,,
2008-01-04 7:00,-4,71,,
2008-01-04 8:00,-4,72,,
2008-01-04 9:00,-3,66,,
2008-01-04 10:00,-1.2,60,,
2008-01-04 11:00,0.3,54,,
2008-01-04 12:00,1.7,44,,
2008-01-04 13:00,2.5,40,,
2008-01-04 14:00,3.5,32,,
2008-01-04 15:00,3.2,37,,
2008-01-04 16:00,2.9,38,,
2008-01-04 17:00,2.5,46,,
2008-01-04 18:00,1.8,42,,
2008-01-04 19:00,1.3,40,,
2008-01-04 20:00,1,49,,
2008-01-04 21:00,0.6,51,,
2008-01-04 22:00,0.3,53,,
2008-01-04 23:00,0.4,50,,
2008-01-05 0:00,0.2,48,,
2008-01-05 1:00,-0.1,52,,
2008-01-05 2:00,-0.5,56,,
2008-01-05 3:00,-0.8,57,,
2008-01-05 4:00,-1.3,63,,
2008-01-05 5:00,-1.2,71,,
2008-01-05 6:00,-1.7,71,,
2008-01-05 7:00,-2,73,,
2008-01-05 8:00,-2,73,,
2008-01-05 9:00,-1.6,70,,
2008-01-05 10:00,0.3,61,,
2008-01-05 11:00,2,53,,
2008-01-05 12:00,4.4,46,,
2008-01-05 13:00,4.5,50,,
2008-01-05 14:00,5.4,48,,
2008-01-05 15:00,5.6,48,,
2008-01-05 16:00,5.5,51,,
2008-01-05 17:00,4.5,54,,
2008-01-05 18:00,3.7,60,,
2008-01-05 19:00,3.2,63,,
2008-01-05 20:00,2.7,66,,
2008-01-05 21:00,2,70,,
2008-01-05 22:00,1.7,72,,
2008-01-05 23:00,1.6,76,,
2008-01-06 0:00,1.1,78,,
2008-01-06 1:00,1,79,,
2008-01-06 2:00,0.8,77,,
2008-01-06 3:00,1,76,,
2008-01-06 4:00,1,76,,
2008-01-06 5:00,1.2,76,,
2008-01-06 6:00,1.5,75,,
2008-01-06 7:00,1.6,75,,
