date,pm1,pm10,pm25
2008-01-01 1:00,,59,14
2008-01-01 2:00,,52,14
2008-01-01 3:00,,49,14
2008-01-01 4:00,,45,15
2008-01-01 5:00,,41,15
2008-01-01 6:00,,39,15
2008-01-01 7:00,,37,13
2008-01-01 8:00,,33,14
2008-01-01 9:00,,33,12
2008-01-01 10:00,,30,11
2008-01-01 11:00,,29,13
2008-01-01 12:00,,29,12
2008-01-01 13:00,,28,12
2008-01-01 14:00,,27,13
2008-01-01 15:00,,29,12
2008-01-01 16:00,,31,11
2008-01-01 17:00,,32,13
2008-01-01 18:00,,34,12
2008-01-01 19:00,,36,13
2008-01-01 20:00,,40,13
2008-01-01 21:00,,40,13
2008-01-01 22:00,,39,15
2008-01-01 23:00,,37,14
2008-01-02 0:00,,36,14
2008-01-02 1:00,,36,15
2008-01-02 2:00,,35,15
2008-01-02 3:00,,32,14
2008-01-02 4:00,,28,14
2008-01-02 5:00,,29,14
2008-01-02 6:00,,31,15
2008-01-02 7:00,,33,15
2008-01-02 8:00,,37,16
2008-01-02 9:00,,42,20
2008-01-02 10:00,,42,20
2008-01-02 11:00,,40,17
2008-01-02 12:00,,39,18
2008-01-02 13:00,,42,19
2008-01-02 14:00,,41,19
2008-01-02 15:00,,38,18
2008-01-02 16:00,,33,15
2008-01-02 17:00,,35,16
2008-01-02 18:00,,37,16
2008-01-02 19:00,,33,14
2008-01-02 20:00,,33,15
2008-01-02 21:00,,34,14
2008-01-02 22:00,,35,15
2008-01-02 23:00,,36,16
2008-01-03 0:00,,42,19
2008-01-03 1:00,,39,20
2008-01-03 2:00,,42,20
2008-01-03 3:00,,44,21
2008-01-03 4:00,,39,21
2008-01-03 5:00,,41,19
2008-01-03 6:00,,39,18
2008-01-03 7:00,,41,19
2008-01-03 8:00,,41,21
2008-01-03 9:00,,45,23
2008-01-03 10:00,,55,26
2008-01-03 11:00,,63,37
2008-01-03 12:00,,75,36
2008-01-03 13:00,,91,46
2008-01-03 14:00,,88,42
2008-01-03 15:00,,68,30
2008-01-03 16:00,,61,29
2008-01-03 17:00,,58,25
2008-01-03 18:00,,54,22
2008-01-03 19:00,,54,22
2008-01-03 20:00,,55,23
2008-01-03 21:00,,53,23
2008-01-03 22:00,,55,26
2008-01-03 23:00,,61,27
2008-01-04 0:00,,66,31
2008-01-04 1:00,,71,37
2008-01-04 2:00,,70,34
2008-01-04 3:00,,70,33
2008-01-04 4:00,,69,33
2008-01-04 5:00,,67,31
2008-01-04 6:00,,66,31
2008-01-04 7:00,,72,34
2008-01-04 8:00,,75,36
2008-01-04 9:00,,85,43
2008-01-04 10:00,,90,51
2008-01-04 11:00,,99,51
2008-01-04 12:00,,98,55
2008-01-04 13:00,,95,73
2008-01-04 14:00,,93,46
2008-01-04 15:00,,91,43
2008-01-04 16:00,,95,43
2008-01-04 17:00,,97,45
2008-01-04 18:00,,116,53
2008-01-04 19:00,,114,51
2008-01-04 20:00,,98,41
2008-01-04 21:00,,83,36
2008-01-04 22:00,,78,31
2008-01-04 23:00,,72,28
2008-01-05 0:00,,66,29
2008-01-05 1:00,,66,28
2008-01-05 2:00,,68,29
2008-01-05 3:00,,65,28
2008-01-05 4:00,,66,31
2008-01-05 5:00,,70,33
2008-01-05 6:00,,71,34
2008-01-05 7:00,,70,34
2008-01-05 8:00,,73,36
2008-01-05 9:00,,82,40
2008-01-05 10:00,,84,44
2008-01-05 11:00,,99,49
2008-01-05 12:00,,85,42
2008-01-05 13:00,,79,38
2008-01-05 14:00,,59,26
2008-01-05 15:00,,54,20
2008-01-05 16:00,,51,19
2008-01-05 17:00,,45,17
2008-01-05 18:00,,51,17
2008-01-05 19:00,,50,19
2008-01-05 20:00,,53,23
2008-01-05 21:00,,59,25
2008-01-05 22:00,,63,28
2008-01-05 23:00,,61,29
2008-01-06 0:00,,61,30
2008-01-06 1:00,,62,28
2008-01-06 2:00,,65,32
2008-01-06 3:00,,68,35
2008-01-06 4:00,,68,32
2008-01-06 5:00,,70,35
2008-01-06 6:00,,70,35
2008-01-06 7:00,,75,37
2008-01-06 8:00,,82,40
2008-01-06 9:00,,88,44
2008-01-06 10:00,,103,49
2008-01-06 11:00,,108,54
2008-01-06 12:00,,116,55
2008-01-06 13:00,,122,63
2008-01-06 14:00,,133,69
2008-01-06 15:00,,142,71
2008-01-06 16:00,,143,74
2008-01-06 17:00,,150,76
